onset	duration	trial_type	response_time	accuracy_binarized	tr_seconds	stimulus_text	stimulus_color
2.0	2.25	con3	0.4864940643310547	0.0	0.8	blue	blue
4.25	4.5	con1	0.449103832244873	1.0	0.8	red	red
8.75	8.25	inc6	0.5195150375366211	0.0	0.8	green	blue
17.0	8.25	con2	0.7200150489807129	1.0	0.8	green	green
25.25	8.25	inc4	1.017420053482056	1.0	0.8	blue	green
33.5	2.25	con1	0.5927920341491699	1.0	0.8	red	red
35.75	2.25	inc3	0.4227449893951416	1.0	0.8	red	green
38.0	8.25	con1	0.5905089378356934	1.0	0.8	red	red
46.25	8.25	con2	0.3195919990539551	1.0	0.8	green	green
54.5	2.25	inc5	0.909376859664917	1.0	0.8	red	blue
56.75	4.5	con3	0.5247480869293213	1.0	0.8	blue	blue
61.25	2.25	con3	0.519258975982666	1.0	0.8	blue	blue
63.5	8.25	con1	0.5172979831695557	1.0	0.8	red	red
71.75	2.25	con2	0.602247953414917	1.0	0.8	green	green
74.0	2.25	inc1	0.4273481369018555	0.0	0.8	green	red
76.25	2.25	con2	0.3756370544433594	1.0	0.8	green	green
78.5	4.5	con3	0.5414769649505615	1.0	0.8	blue	blue
83.0	4.5	con2	0.5541810989379883	1.0	0.8	green	green
87.5	8.25	inc2	0.7497689723968506	0.0	0.8	blue	red
95.75	8.25	con3	0.5766069889068604	1.0	0.8	blue	blue
104.0	4.5	con1	0.5008490085601807	1.0	0.8	red	red
108.5	4.5	con1	0.5194180011749268	1.0	0.8	red	red
113.0	8.25	inc3	0.6263539791107178	1.0	0.8	red	green
121.25	8.25	con3	0.3856019973754883	0.0	0.8	blue	blue
129.5	2.25	inc4	1.085690021514893	1.0	0.8	blue	green
131.75	8.25	con2	0.4191110134124756	1.0	0.8	green	green
140.0	2.25	con3	0.609076976776123	1.0	0.8	blue	blue
142.25	2.25	con1	0.5196578502655029	1.0	0.8	red	red
144.5	8.25	inc1	0.8205351829528809	1.0	0.8	green	red
152.75	8.25	con2	0.6694259643554688	1.0	0.8	green	green
161.0	2.25	con2	0.6246700286865234	1.0	0.8	green	green
163.25	8.25	con1	0.5369908809661865	1.0	0.8	red	red
171.5	4.5	inc4	0.7525711059570312	0.0	0.8	blue	green
176.0	8.25	con2	0.3454718589782715	1.0	0.8	green	green
184.25	8.25	inc5	0.953598976135254	1.0	0.8	red	blue
192.5	2.25	con3	0.6031639575958252	1.0	0.8	blue	blue
194.75	2.25	inc2	0.9531171321868896	1.0	0.8	blue	red
197.0	8.25	con3	0.5961499214172363	1.0	0.8	blue	blue
205.25	2.25	con3	0.5370299816131592	1.0	0.8	blue	blue
207.5	8.25	con2	0.6211318969726562	1.0	0.8	green	green
215.75	2.25	inc6	0.6030800342559814	1.0	0.8	green	blue
218.0	2.25	con1	0.5124790668487549	1.0	0.8	red	red
220.25	8.25	con1	0.5269069671630859	1.0	0.8	red	red
228.5	2.25	con2	0.4855430126190186	1.0	0.8	green	green
230.75	8.25	con1	0.4029619693756104	0.0	0.8	red	red
239.0	4.5	con3	0.4927308559417725	1.0	0.8	blue	blue
243.5	8.25	inc4	0.8583009243011475	1.0	0.8	blue	green
251.75	2.25	con3	0.4855630397796631	1.0	0.8	blue	blue
254.0	4.5	inc6	0.9519450664520264	1.0	0.8	green	blue
258.5	2.25	con3	0.469268798828125	1.0	0.8	blue	blue
260.75	2.25	con2	0.6926059722900391	1.0	0.8	green	green
263.0	2.25	con2	0.475214958190918	1.0	0.8	green	green
265.25	4.5	inc5	0.7057170867919922	0.0	0.8	red	blue
269.75	4.5	con1	0.6711881160736084	1.0	0.8	red	red
274.25	8.25	inc3	0.8010959625244141	1.0	0.8	red	green
282.5	4.5	inc2	0.927725076675415	1.0	0.8	blue	red
287.0	2.25	con2	0.5738480091094971	1.0	0.8	green	green
289.25	2.25	con3	0.5033071041107178	1.0	0.8	blue	blue
291.5	2.25	inc5	0.9374899864196776	1.0	0.8	red	blue
293.75	4.5	con3	0.5190789699554443	1.0	0.8	blue	blue
298.25	8.25	con2	0.5832221508026123	1.0	0.8	green	green
306.5	4.5	inc1	1.442028045654297	1.0	0.8	green	red
311.0	8.25	con3	0.6045849323272705	1.0	0.8	blue	blue
319.25	8.25	con3	0.7506961822509766	1.0	0.8	blue	blue
327.5	4.5	con1	0.5913879871368408	1.0	0.8	red	red
332.0	4.5	con2	0.66839599609375	1.0	0.8	green	green
336.5	4.5	con1	0.5169570446014404	1.0	0.8	red	red
341.0	4.5	inc2	1.050125122070312	1.0	0.8	blue	red
345.5	4.5	con2	0.5260951519012451	1.0	0.8	green	green
350.0	4.5	inc3	0.75313401222229	0.0	0.8	red	green
354.5	4.5	con2	0.520158052444458	1.0	0.8	green	green
359.0	8.25	inc1	0.7523431777954102	0.0	0.8	green	red
367.25	4.5	con1	0.5100419521331787	1.0	0.8	red	red
371.75	4.5	con1	0.4534051418304443	1.0	0.8	red	red
376.25	4.5	inc6	0.9497787952423096	1.0	0.8	green	blue
380.75	4.5	con3	0.6019880771636963	1.0	0.8	blue	blue
385.25	4.5	con1	0.5784220695495605	1.0	0.8	red	red
389.75	8.25	con1	0.473811149597168	1.0	0.8	red	red
