onset	duration	trial_type	response_time	accuracy_binarized	tr_seconds	stimulus_text	stimulus_color
2.0	2.25	con3	0.8201630115509033	1.0	0.8	blue	blue
4.25	4.5	con1	0.6371769905090332	1.0	0.8	red	red
8.75	8.25	inc6	1.092874050140381	0.0	0.8	green	blue
17.0	8.25	con2	0.8690428733825684	1.0	0.8	green	green
25.25	8.25	inc4	1.386750936508179	1.0	0.8	blue	green
33.5	2.25	con1	0.3786859512329102	1.0	0.8	red	red
35.75	2.25	inc3	0.8460500240325928	1.0	0.8	red	green
38.0	8.25	con1	1.11213493347168	1.0	0.8	red	red
46.25	8.25	con2	0.6613640785217285	1.0	0.8	green	green
54.5	2.25	inc5	0.9107170104980468	1.0	0.8	red	blue
56.75	4.5	con3	0.7799520492553711	1.0	0.8	blue	blue
61.25	2.25	con3	0.5544240474700928	1.0	0.8	blue	blue
63.5	8.25	con1	0.6860439777374268	1.0	0.8	red	red
71.75	2.25	con2	0.7191119194030762	1.0	0.8	green	green
74.0	2.25	inc1	0.920799970626831	1.0	0.8	green	red
76.25	2.25	con2	1.137378215789795	1.0	0.8	green	green
78.5	4.5	con3	0.653810977935791	1.0	0.8	blue	blue
83.0	4.5	con2	0.7416348457336426	1.0	0.8	green	green
87.5	8.25	inc2	0.9397130012512208	1.0	0.8	blue	red
95.75	8.25	con3	0.7884800434112549	1.0	0.8	blue	blue
104.0	4.5	con1	0.6881060600280762	1.0	0.8	red	red
108.5	4.5	con1	0.6051340103149414	1.0	0.8	red	red
113.0	8.25	inc3	0.5223958492279053	1.0	0.8	red	green
121.25	8.25	con3	0.6366519927978516	1.0	0.8	blue	blue
129.5	2.25	inc4	0.7697579860687256	1.0	0.8	blue	green
131.75	8.25	con2	0.6356070041656494	1.0	0.8	green	green
140.0	2.25	con3	1.020081996917725	1.0	0.8	blue	blue
142.25	2.25	con1	0.7522449493408203	1.0	0.8	red	red
144.5	8.25	inc1	0.9868860244750975	1.0	0.8	green	red
152.75	8.25	con2	0.8372330665588379	1.0	0.8	green	green
161.0	2.25	con2	0.6805801391601562	1.0	0.8	green	green
163.25	8.25	con1	0.6211161613464355	1.0	0.8	red	red
171.5	4.5	inc4	1.053504943847656	1.0	0.8	blue	green
176.0	8.25	con2	0.5696649551391602	1.0	0.8	green	green
184.25	8.25	inc5	0.9817609786987304	1.0	0.8	red	blue
192.5	2.25	con3	0.5470290184020996	1.0	0.8	blue	blue
194.75	2.25	inc2	0.6312329769134521	0.0	0.8	blue	red
197.0	8.25	con3	0.6630859375	1.0	0.8	blue	blue
205.25	2.25	con3	0.7630198001861572	1.0	0.8	blue	blue
207.5	8.25	con2	0.6464438438415527	1.0	0.8	green	green
215.75	2.25	inc6	0.9775600433349608	1.0	0.8	green	blue
218.0	2.25	con1	0.544625997543335	1.0	0.8	red	red
220.25	8.25	con1	0.5612990856170654	1.0	0.8	red	red
228.5	2.25	con2	0.5267789363861084	1.0	0.8	green	green
230.75	8.25	con1	0.6942341327667236	1.0	0.8	red	red
239.0	4.5	con3	0.6699190139770508	1.0	0.8	blue	blue
243.5	8.25	inc4	0.9870989322662354	1.0	0.8	blue	green
251.75	2.25	con3	0.7741639614105225	1.0	0.8	blue	blue
254.0	4.5	inc6	0.7570970058441162	1.0	0.8	green	blue
258.5	2.25	con3	0.6865179538726807	1.0	0.8	blue	blue
260.75	2.25	con2	0.7721478939056396	1.0	0.8	green	green
263.0	2.25	con2	0.6062338352203369	1.0	0.8	green	green
265.25	4.5	inc5	1.023133039474487	1.0	0.8	red	blue
269.75	4.5	con1	0.4231851100921631	1.0	0.8	red	red
274.25	8.25	inc3	1.355111122131348	1.0	0.8	red	green
282.5	4.5	inc2	0.8871440887451172	1.0	0.8	blue	red
287.0	2.25	con2	0.6708939075469971	1.0	0.8	green	green
289.25	2.25	con3	0.6207799911499023	1.0	0.8	blue	blue
291.5	2.25	inc5	0.9371950626373292	0.0	0.8	red	blue
293.75	4.5	con3	0.7545161247253418	1.0	0.8	blue	blue
298.25	8.25	con2	0.5871148109436035	1.0	0.8	green	green
306.5	4.5	inc1	0.6499569416046143	1.0	0.8	green	red
311.0	8.25	con3	0.7033951282501221	0.0	0.8	blue	blue
319.25	8.25	con3	0.7027468681335449	1.0	0.8	blue	blue
327.5	4.5	con1	0.770179033279419	1.0	0.8	red	red
332.0	4.5	con2	0.7389111518859863	1.0	0.8	green	green
336.5	4.5	con1	0.7024149894714355	1.0	0.8	red	red
341.0	4.5	inc2	0.7200090885162354	1.0	0.8	blue	red
345.5	4.5	con2	0.6317379474639893	1.0	0.8	green	green
350.0	4.5	inc3	0.6481869220733643	1.0	0.8	red	green
354.5	4.5	con2	0.6551179885864258	1.0	0.8	green	green
359.0	8.25	inc1	0.9303889274597168	1.0	0.8	green	red
367.25	4.5	con1	0.6468100547790527	1.0	0.8	red	red
371.75	4.5	con1	0.5473558902740479	1.0	0.8	red	red
376.25	4.5	inc6	0.7965497970581055	1.0	0.8	green	blue
380.75	4.5	con3	0.4461348056793213	1.0	0.8	blue	blue
385.25	4.5	con1	0.595350980758667	1.0	0.8	red	red
389.75	8.25	con1	0.4940159320831299	1.0	0.8	red	red
