onset	duration	trial_type	response_time	accuracy_binarized	tr_seconds	stimulus_text	stimulus_color
2.0	2.25	con3	0.7008228302001953	1.0	0.8	blue	blue
4.25	4.5	con1	0.5694949626922607	1.0	0.8	red	red
8.75	8.25	inc6	0.4039909839630127	1.0	0.8	green	blue
17.0	8.25	con2	0.4279839992523193	1.0	0.8	green	green
25.25	8.25	inc4	0.891491174697876	1.0	0.8	blue	green
33.5	2.25	con1	0.4699699878692627	1.0	0.8	red	red
35.75	2.25	inc3	0.9261360168457032	1.0	0.8	red	green
38.0	8.25	con1	0.4914989471435547	1.0	0.8	red	red
46.25	8.25	con2	0.436722993850708	1.0	0.8	green	green
54.5	2.25	inc5	0.674044132232666	1.0	0.8	red	blue
56.75	4.5	con3	0.6418349742889404	1.0	0.8	blue	blue
61.25	2.25	con3	0.4898219108581543	1.0	0.8	blue	blue
63.5	8.25	con1	0.5726468563079834	1.0	0.8	red	red
71.75	2.25	con2	0.4734148979187012	1.0	0.8	green	green
74.0	2.25	inc1	0.8047971725463867	1.0	0.8	green	red
76.25	2.25	con2	0.6890120506286621	1.0	0.8	green	green
78.5	4.5	con3	0.4392549991607666	1.0	0.8	blue	blue
83.0	4.5	con2	0.5047309398651123	1.0	0.8	green	green
87.5	8.25	inc2	0.6381978988647461	1.0	0.8	blue	red
95.75	8.25	con3	0.5369489192962646	1.0	0.8	blue	blue
104.0	4.5	con1	0.5539278984069824	1.0	0.8	red	red
108.5	4.5	con1	0.5031599998474121	1.0	0.8	red	red
113.0	8.25	inc3	0.8362021446228027	1.0	0.8	red	green
121.25	8.25	con3	0.5201151371002197	1.0	0.8	blue	blue
129.5	2.25	inc4	0.6504001617431641	1.0	0.8	blue	green
131.75	8.25	con2	0.5033388137817383	1.0	0.8	green	green
140.0	2.25	con3	0.5863430500030518	1.0	0.8	blue	blue
142.25	2.25	con1	0.5527257919311523	1.0	0.8	red	red
144.5	8.25	inc1	0.4857721328735352	1.0	0.8	green	red
152.75	8.25	con2	0.5487878322601318	1.0	0.8	green	green
161.0	2.25	con2	0.6347029209136963	1.0	0.8	green	green
163.25	8.25	con1	0.5844159126281738	1.0	0.8	red	red
171.5	4.5	inc4	0.7536492347717285	1.0	0.8	blue	green
176.0	8.25	con2	0.4790248870849609	1.0	0.8	green	green
184.25	8.25	inc5	0.8118569850921631	1.0	0.8	red	blue
192.5	2.25	con3	0.6265928745269775	1.0	0.8	blue	blue
194.75	2.25	inc2	0.6773941516876221	1.0	0.8	blue	red
197.0	8.25	con3	0.6260559558868408	1.0	0.8	blue	blue
205.25	2.25	con3	n/a	0.0	0.8	blue	blue
207.5	8.25	con2	0.6091539859771729	1.0	0.8	green	green
215.75	2.25	inc6	0.6573200225830078	1.0	0.8	green	blue
218.0	2.25	con1	0.5216999053955078	1.0	0.8	red	red
220.25	8.25	con1	0.4037699699401855	1.0	0.8	red	red
228.5	2.25	con2	0.4907090663909912	1.0	0.8	green	green
230.75	8.25	con1	0.55417799949646	1.0	0.8	red	red
239.0	4.5	con3	0.5695760250091553	1.0	0.8	blue	blue
243.5	8.25	inc4	1.038262844085693	1.0	0.8	blue	green
251.75	2.25	con3	0.6387369632720947	1.0	0.8	blue	blue
254.0	4.5	inc6	0.6536068916320801	0.0	0.8	green	blue
258.5	2.25	con3	0.7206790447235107	1.0	0.8	blue	blue
260.75	2.25	con2	0.553765058517456	1.0	0.8	green	green
263.0	2.25	con2	0.4545409679412842	1.0	0.8	green	green
265.25	4.5	inc5	0.9188499450683594	1.0	0.8	red	blue
269.75	4.5	con1	0.486238956451416	1.0	0.8	red	red
274.25	8.25	inc3	0.6686358451843262	1.0	0.8	red	green
282.5	4.5	inc2	1.053237915039062	1.0	0.8	blue	red
287.0	2.25	con2	0.586482048034668	1.0	0.8	green	green
289.25	2.25	con3	0.6366062164306641	1.0	0.8	blue	blue
291.5	2.25	inc5	0.7703859806060791	1.0	0.8	red	blue
293.75	4.5	con3	0.4697070121765137	1.0	0.8	blue	blue
298.25	8.25	con2	0.5871438980102539	1.0	0.8	green	green
306.5	4.5	inc1	0.8671269416809082	1.0	0.8	green	red
311.0	8.25	con3	0.5868380069732666	1.0	0.8	blue	blue
319.25	8.25	con3	0.5321850776672363	1.0	0.8	blue	blue
327.5	4.5	con1	0.547835111618042	1.0	0.8	red	red
332.0	4.5	con2	0.5203001499176025	1.0	0.8	green	green
336.5	4.5	con1	0.5637180805206299	1.0	0.8	red	red
341.0	4.5	inc2	0.8196959495544434	1.0	0.8	blue	red
345.5	4.5	con2	0.5122020244598389	1.0	0.8	green	green
350.0	4.5	inc3	0.4954779148101807	0.0	0.8	red	green
354.5	4.5	con2	0.5753779411315918	1.0	0.8	green	green
359.0	8.25	inc1	1.061329126358032	1.0	0.8	green	red
367.25	4.5	con1	0.5932011604309082	1.0	0.8	red	red
371.75	4.5	con1	0.59352707862854	1.0	0.8	red	red
376.25	4.5	inc6	0.6686642169952393	1.0	0.8	green	blue
380.75	4.5	con3	0.5744237899780273	1.0	0.8	blue	blue
385.25	4.5	con1	0.5205659866333008	1.0	0.8	red	red
389.75	8.25	con1	0.458284854888916	1.0	0.8	red	red
