onset	duration	trial_type	response_time	accuracy_binarized	tr_seconds	stimulus_text	stimulus_color
2.0	2.25	inc4	n/a	0.0	0.8	blue	green
4.25	4.5	con2	0.571272134781	0.0	0.8	green	green
8.75	8.25	inc5	0.702841997147	0.0	0.8	red	blue
17.0	8.25	con1	1.06987786293	0.0	0.8	red	red
25.25	8.25	inc1	1.15271401405	0.0	0.8	green	red
33.5	2.25	con2	1.50358295441	0.0	0.8	green	green
35.75	2.25	inc1	0.835376024246	0.0	0.8	green	red
38.0	8.25	con1	0.535628080368	0.0	0.8	red	red
46.25	8.25	con2	1.03257203102	0.0	0.8	green	green
54.5	2.25	con3	0.819123983383	0.0	0.8	blue	blue
56.75	4.5	con1	n/a	0.0	0.8	red	red
61.25	2.25	con1	1.56205892563	0.0	0.8	red	red
63.5	8.25	con3	0.633401155472	0.0	0.8	blue	blue
71.75	2.25	con2	0.899923086166	0.0	0.8	green	green
74.0	2.25	inc4	0.615118026733	0.0	0.8	blue	green
76.25	2.25	con1	0.596864938736	0.0	0.8	red	red
78.5	4.5	con3	1.16953206062	0.0	0.8	blue	blue
83.0	4.5	con2	1.16239118576	0.0	0.8	green	green
87.5	8.25	inc6	1.10315513611	0.0	0.8	green	blue
95.75	8.25	con1	0.960865020752	0.0	0.8	red	red
104.0	4.5	con3	0.98610496521	0.0	0.8	blue	blue
108.5	4.5	con2	n/a	0.0	0.8	green	green
113.0	8.25	inc6	0.717123985291	0.0	0.8	green	blue
121.25	8.25	con2	1.66976594925	0.0	0.8	green	green
129.5	2.25	inc1	0.76935505867	0.0	0.8	green	red
131.75	8.25	con2	0.938886880875	0.0	0.8	green	green
140.0	2.25	inc4	n/a	0.0	0.8	blue	green
142.25	2.25	con3	n/a	0.0	0.8	blue	blue
144.5	8.25	inc2	1.10641694069	0.0	0.8	blue	red
152.75	8.25	con1	0.606428861618	0.0	0.8	red	red
161.0	2.25	con3	0.97117805481	0.0	0.8	blue	blue
163.25	8.25	con3	0.838160991669	0.0	0.8	blue	blue
171.5	4.5	inc6	1.07110118866	0.0	0.8	green	blue
176.0	8.25	con3	0.637912034988	0.0	0.8	blue	blue
184.25	8.25	inc2	0.785674095154	0.0	0.8	blue	red
192.5	2.25	con1	0.602852106094	0.0	0.8	red	red
194.75	2.25	con1	0.669695854187	0.0	0.8	red	red
197.0	8.25	con3	n/a	0.0	0.8	blue	blue
205.25	2.25	con2	n/a	0.0	0.8	green	green
207.5	8.25	con2	n/a	0.0	0.8	green	green
215.75	2.25	inc3	n/a	0.0	0.8	red	green
218.0	2.25	con2	n/a	0.0	0.8	green	green
220.25	8.25	con3	0.0206460952759	1.0	0.8	blue	blue
228.5	2.25	con1	0.686117887497	0.0	0.8	red	red
230.75	8.25	con3	1.01539182663	0.0	0.8	blue	blue
239.0	4.5	con3	0.747652053833	0.0	0.8	blue	blue
243.5	8.25	inc2	n/a	0.0	0.8	blue	red
251.75	2.25	con2	n/a	0.0	0.8	green	green
254.0	4.5	inc5	n/a	0.0	0.8	red	blue
258.5	2.25	con1	1.47920489311	0.0	0.8	red	red
260.75	2.25	con3	0.912717103958	0.0	0.8	blue	blue
263.0	2.25	con3	0.646584033966	0.0	0.8	blue	blue
265.25	4.5	inc3	0.74638915062	0.0	0.8	red	green
269.75	4.5	con2	1.39434409142	0.0	0.8	green	green
274.25	8.25	inc1	1.54443287849	0.0	0.8	green 	red
282.5	4.5	inc4	n/a	0.0	0.8	blue	green
287.0	2.25	con1	n/a	0.0	0.8	red	red
289.25	2.25	con2	n/a	0.0	0.8	green	green
291.5	2.25	inc3	n/a	0.0	0.8	red	green
293.75	4.5	inc3	1.56945490837	0.0	0.8	red	green
298.25	8.25	con1	0.837376832962	0.0	0.8	red	red
306.5	4.5	inc5	n/a	0.0	0.8	red	blue
311.0	8.25	con1	0.790972948074	0.0	0.8	red	red
319.25	8.25	con1	n/a	0.0	0.8	red	red
327.5	4.5	con2	1.25502300262	0.0	0.8	green	green
332.0	4.5	inc5	0.721627950668	0.0	0.8	red	blue
336.5	4.5	con1	0.68826508522	0.0	0.8	red	red
341.0	4.5	con1	0.654644966125	0.0	0.8	red	red
345.5	4.5	con3	1.03401184082	0.0	0.8	blue	blue
350.0	4.5	inc6	0.853137016296	0.0	0.8	green	blue
354.5	4.5	con3	1.08679580688	0.0	0.8	blue	blue
359.0	8.25	inc2	n/a	0.0	0.8	blue	red
367.25	4.5	con2	n/a	0.0	0.8	green	green
371.75	4.5	con3	0.703444004059	0.0	0.8	blue	blue
376.25	4.5	con1	1.08674097061	0.0	0.8	red	red
380.75	4.5	con2	0.969473838806	0.0	0.8	green	green
385.25	4.5	con3	n/a	0.0	0.8	blue	blue
389.75	8.25	con2	0.95231795311	0.0	0.8	green	green
