onset	duration	trial_type	response_time	accuracy_binarized	tr_seconds	stimulus_text	stimulus_color
2.0	2.25	con3	0.61981201171875	1.0	0.8	blue	blue
4.25	4.5	con1	0.4883699417114258	1.0	0.8	red	red
8.75	8.25	inc6	0.7886359691619873	0.0	0.8	green	blue
17.0	8.25	con2	1.521008968353271	1.0	0.8	green	green
25.25	8.25	inc4	1.203675985336304	1.0	0.8	blue	green
33.5	2.25	con1	0.5047018527984619	1.0	0.8	red	red
35.75	2.25	inc3	0.6051299571990967	1.0	0.8	red	green
38.0	8.25	con1	0.5545840263366699	1.0	0.8	red	red
46.25	8.25	con2	0.7360198497772217	1.0	0.8	green	green
54.5	2.25	inc5	0.9363908767700196	1.0	0.8	red	blue
56.75	4.5	con3	0.5736041069030762	1.0	0.8	blue	blue
61.25	2.25	con3	0.5190250873565674	1.0	0.8	blue	blue
63.5	8.25	con1	0.3697481155395508	1.0	0.8	red	red
71.75	2.25	con2	0.394705057144165	1.0	0.8	green	green
74.0	2.25	inc1	0.5260379314422607	0.0	0.8	green	red
76.25	2.25	con2	0.5872988700866699	1.0	0.8	green	green
78.5	4.5	con3	0.5051419734954834	1.0	0.8	blue	blue
83.0	4.5	con2	0.5015618801116943	1.0	0.8	green	green
87.5	8.25	inc2	0.5371339321136475	1.0	0.8	blue	red
95.75	8.25	con3	0.6209731101989746	1.0	0.8	blue	blue
104.0	4.5	con1	0.6502141952514648	1.0	0.8	red	red
108.5	4.5	con1	0.553739070892334	1.0	0.8	red	red
113.0	8.25	inc3	0.5283141136169434	1.0	0.8	red	green
121.25	8.25	con3	0.7708969116210938	1.0	0.8	blue	blue
129.5	2.25	inc4	0.5710649490356445	1.0	0.8	blue	green
131.75	8.25	con2	0.5197980403900146	1.0	0.8	green	green
140.0	2.25	con3	0.8062469959259033	1.0	0.8	blue	blue
142.25	2.25	con1	0.5372710227966309	1.0	0.8	red	red
144.5	8.25	inc1	0.4858450889587402	1.0	0.8	green	red
152.75	8.25	con2	0.5027849674224854	1.0	0.8	green	green
161.0	2.25	con2	0.5912599563598633	1.0	0.8	green	green
163.25	8.25	con1	0.5205910205841064	1.0	0.8	red	red
171.5	4.5	inc4	0.6033310890197754	1.0	0.8	blue	green
176.0	8.25	con2	0.553095817565918	1.0	0.8	green	green
184.25	8.25	inc5	1.053931951522827	1.0	0.8	red	blue
192.5	2.25	con3	0.90329909324646	1.0	0.8	blue	blue
194.75	2.25	inc2	0.6874239444732666	1.0	0.8	blue	red
197.0	8.25	con3	0.7438778877258301	1.0	0.8	blue	blue
205.25	2.25	con3	0.9999241828918456	1.0	0.8	blue	blue
207.5	8.25	con2	0.8188209533691406	1.0	0.8	green	green
215.75	2.25	inc6	1.0447998046875	1.0	0.8	green	blue
218.0	2.25	con1	0.4777438640594482	1.0	0.8	red	red
220.25	8.25	con1	0.5385959148406982	1.0	0.8	red	red
228.5	2.25	con2	0.5684390068054199	1.0	0.8	green	green
230.75	8.25	con1	0.4848730564117432	1.0	0.8	red	red
239.0	4.5	con3	0.4440159797668457	1.0	0.8	blue	blue
243.5	8.25	inc4	0.7727169990539551	1.0	0.8	blue	green
251.75	2.25	con3	0.6851849555969238	1.0	0.8	blue	blue
254.0	4.5	inc6	0.6675159931182861	1.0	0.8	green	blue
258.5	2.25	con3	0.6288278102874756	1.0	0.8	blue	blue
260.75	2.25	con2	0.5598471164703369	1.0	0.8	green	green
263.0	2.25	con2	0.703761100769043	1.0	0.8	green	green
265.25	4.5	inc5	0.5695521831512451	1.0	0.8	red	blue
269.75	4.5	con1	0.4858789443969727	1.0	0.8	red	red
274.25	8.25	inc3	0.870232105255127	1.0	0.8	red	green
282.5	4.5	inc2	1.705620050430298	1.0	0.8	blue	red
287.0	2.25	con2	0.6550412178039551	1.0	0.8	green	green
289.25	2.25	con3	0.9691817760467528	1.0	0.8	blue	blue
291.5	2.25	inc5	0.8847100734710693	1.0	0.8	red	blue
293.75	4.5	con3	0.6535089015960693	1.0	0.8	blue	blue
298.25	8.25	con2	0.6024470329284668	1.0	0.8	green	green
306.5	4.5	inc1	1.106307983398438	1.0	0.8	green	red
311.0	8.25	con3	0.7830400466918945	1.0	0.8	blue	blue
319.25	8.25	con3	0.685981035232544	1.0	0.8	blue	blue
327.5	4.5	con1	0.5413320064544678	1.0	0.8	red	red
332.0	4.5	con2	0.4683520793914795	1.0	0.8	green	green
336.5	4.5	con1	0.5037069320678711	1.0	0.8	red	red
341.0	4.5	inc2	0.6936168670654297	0.0	0.8	blue	red
345.5	4.5	con2	0.5885939598083496	1.0	0.8	green	green
350.0	4.5	inc3	1.337700843811035	1.0	0.8	red	green
354.5	4.5	con2	0.651055097579956	1.0	0.8	green	green
359.0	8.25	inc1	0.4699749946594238	1.0	0.8	green	red
367.25	4.5	con1	0.5709559917449951	1.0	0.8	red	red
371.75	4.5	con1	0.503669023513794	1.0	0.8	red	red
376.25	4.5	inc6	0.5637750625610352	1.0	0.8	green	blue
380.75	4.5	con3	0.5354490280151367	1.0	0.8	blue	blue
385.25	4.5	con1	0.5601930618286133	1.0	0.8	red	red
389.75	8.25	con1	0.5225241184234619	1.0	0.8	red	red
