onset	duration	trial_type	response_time	accuracy_binarized	tr_seconds	stimulus_text	stimulus_color
2.0	2.25	con3	0.4509899616241455	0.0	0.8	blue	blue
4.25	4.5	con1	0.571293830871582	1.0	0.8	red	red
8.75	8.25	inc6	0.7117409706115723	0.0	0.8	green	blue
17.0	8.25	con2	0.4886229038238525	1.0	0.8	green	green
25.25	8.25	inc4	0.5037901401519775	1.0	0.8	blue	green
33.5	2.25	con1	0.3839080333709717	1.0	0.8	red	red
35.75	2.25	inc3	0.7732300758361816	1.0	0.8	red	green
38.0	8.25	con1	0.637362003326416	1.0	0.8	red	red
46.25	8.25	con2	0.4863669872283936	1.0	0.8	green	green
54.5	2.25	inc5	0.8867290019989014	0.0	0.8	red	blue
56.75	4.5	con3	0.6559200286865234	1.0	0.8	blue	blue
61.25	2.25	con3	0.4827499389648438	1.0	0.8	blue	blue
63.5	8.25	con1	0.6202349662780762	1.0	0.8	red	red
71.75	2.25	con2	0.5277249813079834	1.0	0.8	green	green
74.0	2.25	inc1	0.4923930168151855	1.0	0.8	green	red
76.25	2.25	con2	0.4871389865875244	1.0	0.8	green	green
78.5	4.5	con3	0.3721339702606201	1.0	0.8	blue	blue
83.0	4.5	con2	0.5853979587554932	1.0	0.8	green	green
87.5	8.25	inc2	0.7373318672180176	1.0	0.8	blue	red
95.75	8.25	con3	0.453402042388916	1.0	0.8	blue	blue
104.0	4.5	con1	0.5013711452484131	1.0	0.8	red	red
108.5	4.5	con1	0.4377331733703613	1.0	0.8	red	red
113.0	8.25	inc3	0.5939741134643555	1.0	0.8	red	green
121.25	8.25	con3	0.4527418613433838	1.0	0.8	blue	blue
129.5	2.25	inc4	0.6041340827941895	1.0	0.8	blue	green
131.75	8.25	con2	0.7253539562225342	1.0	0.8	green	green
140.0	2.25	con3	0.6561930179595947	1.0	0.8	blue	blue
142.25	2.25	con1	0.455376148223877	1.0	0.8	red	red
144.5	8.25	inc1	0.5532269477844238	1.0	0.8	green	red
152.75	8.25	con2	0.4787781238555908	1.0	0.8	green	green
161.0	2.25	con2	0.4892971515655518	1.0	0.8	green	green
163.25	8.25	con1	0.4378211498260498	1.0	0.8	red	red
171.5	4.5	inc4	0.5366251468658447	1.0	0.8	blue	green
176.0	8.25	con2	0.4770610332489014	1.0	0.8	green	green
184.25	8.25	inc5	0.6007509231567383	1.0	0.8	red	blue
192.5	2.25	con3	0.6339011192321777	1.0	0.8	blue	blue
194.75	2.25	inc2	0.5117599964141846	1.0	0.8	blue	red
197.0	8.25	con3	0.5575568675994873	1.0	0.8	blue	blue
205.25	2.25	con3	0.5035390853881836	1.0	0.8	blue	blue
207.5	8.25	con2	0.4686670303344727	1.0	0.8	green	green
215.75	2.25	inc6	0.7120440006256104	1.0	0.8	green	blue
218.0	2.25	con1	0.5097630023956299	1.0	0.8	red	red
220.25	8.25	con1	0.5204081535339355	1.0	0.8	red	red
228.5	2.25	con2	0.5348451137542725	1.0	0.8	green	green
230.75	8.25	con1	0.4876351356506348	1.0	0.8	red	red
239.0	4.5	con3	0.4936728477478027	1.0	0.8	blue	blue
243.5	8.25	inc4	0.6865460872650146	1.0	0.8	blue	green
251.75	2.25	con3	0.7369768619537354	1.0	0.8	blue	blue
254.0	4.5	inc6	0.836622953414917	0.0	0.8	green	blue
258.5	2.25	con3	0.5912268161773682	1.0	0.8	blue	blue
260.75	2.25	con2	0.5265209674835205	1.0	0.8	green	green
263.0	2.25	con2	0.4673030376434326	1.0	0.8	green	green
265.25	4.5	inc5	0.6223690509796143	1.0	0.8	red	blue
269.75	4.5	con1	0.5522451400756836	1.0	0.8	red	red
274.25	8.25	inc3	0.7871658802032471	1.0	0.8	red	green
282.5	4.5	inc2	0.5045030117034912	1.0	0.8	blue	red
287.0	2.25	con2	0.6035468578338623	1.0	0.8	green	green
289.25	2.25	con3	0.434089183807373	1.0	0.8	blue	blue
291.5	2.25	inc5	0.8701679706573486	1.0	0.8	red	blue
293.75	4.5	con3	0.4707250595092773	1.0	0.8	blue	blue
298.25	8.25	con2	0.3592631816864014	1.0	0.8	green	green
306.5	4.5	inc1	0.4890439510345459	1.0	0.8	green	red
311.0	8.25	con3	0.5184249877929688	0.0	0.8	blue	blue
319.25	8.25	con3	0.6293349266052246	1.0	0.8	blue	blue
327.5	4.5	con1	0.5236680507659912	1.0	0.8	red	red
332.0	4.5	con2	0.7524101734161377	1.0	0.8	green	green
336.5	4.5	con1	0.6678521633148193	1.0	0.8	red	red
341.0	4.5	inc2	0.5620079040527344	1.0	0.8	blue	red
345.5	4.5	con2	0.5871999263763428	1.0	0.8	green	green
350.0	4.5	inc3	0.5709841251373291	1.0	0.8	red	green
354.5	4.5	con2	0.5370230674743652	1.0	0.8	green	green
359.0	8.25	inc1	0.5038940906524658	1.0	0.8	green	red
367.25	4.5	con1	0.5383350849151611	1.0	0.8	red	red
371.75	4.5	con1	0.5503230094909668	1.0	0.8	red	red
376.25	4.5	inc6	0.6701459884643555	1.0	0.8	green	blue
380.75	4.5	con3	0.4169809818267822	1.0	0.8	blue	blue
385.25	4.5	con1	0.4386501312255859	1.0	0.8	red	red
389.75	8.25	con1	0.439039945602417	0.0	0.8	red	red
