onset	duration	trial_type	response_time	accuracy_binarized	tr_seconds	stimulus_text	stimulus_color
2.0	2.25	con3	0.8871331214904785	0.0	0.8	blue	blue
4.25	4.5	con1	0.6686220169067383	1.0	0.8	red	red
8.75	8.25	inc6	1.241230964660645	1.0	0.8	green	blue
17.0	8.25	con2	0.6027429103851318	1.0	0.8	green	green
25.25	8.25	inc4	1.019304990768433	1.0	0.8	blue	green
33.5	2.25	con1	0.4175131320953369	1.0	0.8	red	red
35.75	2.25	inc3	1.221124887466431	1.0	0.8	red	green
38.0	8.25	con1	0.6030318737030029	1.0	0.8	red	red
46.25	8.25	con2	0.7362329959869385	1.0	0.8	green	green
54.5	2.25	inc5	0.9886879920959472	1.0	0.8	red	blue
56.75	4.5	con3	0.6197779178619385	1.0	0.8	blue	blue
61.25	2.25	con3	0.602912187576294	1.0	0.8	blue	blue
63.5	8.25	con1	0.6367762088775635	1.0	0.8	red	red
71.75	2.25	con2	1.025683879852295	1.0	0.8	green	green
74.0	2.25	inc1	1.172938823699951	1.0	0.8	green	red
76.25	2.25	con2	0.6212620735168457	1.0	0.8	green	green
78.5	4.5	con3	0.5702230930328369	1.0	0.8	blue	blue
83.0	4.5	con2	0.8031580448150635	1.0	0.8	green	green
87.5	8.25	inc2	0.8702089786529541	1.0	0.8	blue	red
95.75	8.25	con3	0.6868951320648193	1.0	0.8	blue	blue
104.0	4.5	con1	0.6654200553894043	1.0	0.8	red	red
108.5	4.5	con1	0.7108280658721924	1.0	0.8	red	red
113.0	8.25	inc3	1.141515016555786	1.0	0.8	red	green
121.25	8.25	con3	0.902122974395752	1.0	0.8	blue	blue
129.5	2.25	inc4	1.068892002105713	1.0	0.8	blue	green
131.75	8.25	con2	0.5598359107971191	1.0	0.8	green	green
140.0	2.25	con3	0.6875419616699219	1.0	0.8	blue	blue
142.25	2.25	con1	0.91886305809021	1.0	0.8	red	red
144.5	8.25	inc1	0.7027878761291504	1.0	0.8	green	red
152.75	8.25	con2	0.70955491065979	0.0	0.8	green	green
161.0	2.25	con2	0.7538068294525146	1.0	0.8	green	green
163.25	8.25	con1	0.5352599620819092	1.0	0.8	red	red
171.5	4.5	inc4	0.9357259273529052	1.0	0.8	blue	green
176.0	8.25	con2	0.6575469970703125	1.0	0.8	green	green
184.25	8.25	inc5	0.8859751224517822	1.0	0.8	red	blue
192.5	2.25	con3	0.7200920581817627	1.0	0.8	blue	blue
194.75	2.25	inc2	0.6602978706359863	1.0	0.8	blue	red
197.0	8.25	con3	0.8010001182556152	1.0	0.8	blue	blue
205.25	2.25	con3	0.5856530666351318	1.0	0.8	blue	blue
207.5	8.25	con2	0.6533830165863037	1.0	0.8	green	green
215.75	2.25	inc6	1.403110027313232	1.0	0.8	green	blue
218.0	2.25	con1	0.6198129653930664	1.0	0.8	red	red
220.25	8.25	con1	0.538038969039917	1.0	0.8	red	red
228.5	2.25	con2	1.233134984970093	1.0	0.8	green	green
230.75	8.25	con1	0.6704311370849609	1.0	0.8	red	red
239.0	4.5	con3	0.9506540298461914	1.0	0.8	blue	blue
243.5	8.25	inc4	0.970801830291748	1.0	0.8	blue	green
251.75	2.25	con3	0.6110451221466064	1.0	0.8	blue	blue
254.0	4.5	inc6	0.6445009708404541	0.0	0.8	green	blue
258.5	2.25	con3	0.574660062789917	1.0	0.8	blue	blue
260.75	2.25	con2	0.7341439723968506	1.0	0.8	green	green
263.0	2.25	con2	0.6383121013641357	1.0	0.8	green	green
265.25	4.5	inc5	0.8362619876861572	0.0	0.8	red	blue
269.75	4.5	con1	0.7037978172302246	1.0	0.8	red	red
274.25	8.25	inc3	0.9122259616851808	1.0	0.8	red	green
282.5	4.5	inc2	0.6873078346252441	1.0	0.8	blue	red
287.0	2.25	con2	0.7190840244293213	1.0	0.8	green	green
289.25	2.25	con3	0.7186589241027832	1.0	0.8	blue	blue
291.5	2.25	inc5	1.052959203720093	1.0	0.8	red	blue
293.75	4.5	con3	0.6538350582122803	1.0	0.8	blue	blue
298.25	8.25	con2	0.6757121086120605	1.0	0.8	green	green
306.5	4.5	inc1	0.7842581272125244	1.0	0.8	green	red
311.0	8.25	con3	0.8038139343261719	1.0	0.8	blue	blue
319.25	8.25	con3	1.086499929428101	1.0	0.8	blue	blue
327.5	4.5	con1	1.453569889068604	1.0	0.8	red	red
332.0	4.5	con2	1.852799892425537	1.0	0.8	green	green
336.5	4.5	con1	0.7186858654022217	1.0	0.8	red	red
341.0	4.5	inc2	1.192231893539429	1.0	0.8	blue	red
345.5	4.5	con2	0.821599006652832	1.0	0.8	green	green
350.0	4.5	inc3	1.184669971466064	1.0	0.8	red	green
354.5	4.5	con2	0.6361398696899414	1.0	0.8	green	green
359.0	8.25	inc1	0.710230827331543	1.0	0.8	green	red
367.25	4.5	con1	0.6555500030517578	1.0	0.8	red	red
371.75	4.5	con1	0.8344719409942627	1.0	0.8	red	red
376.25	4.5	inc6	0.8700289726257324	1.0	0.8	green	blue
380.75	4.5	con3	0.6602859497070312	1.0	0.8	blue	blue
385.25	4.5	con1	0.6200249195098877	1.0	0.8	red	red
389.75	8.25	con1	0.5371870994567871	1.0	0.8	red	red
